,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
95,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,none,real estate,54,none,own,0
96,0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... < 100 DM,... < 1 year,3,none,unknown / no property,58,none,rent,1
97,no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",61,none,own,0
98,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,0
99,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,... < 100 DM,... >= 7 years,4,none,real estate,36,none,own,0
100,0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,36,bank,rent,0
101,no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,none,real estate,41,none,rent,0
102,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2323,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",24,none,rent,0
103,no checking account,6,delay in paying off in the past,radio/television,932,... < 100 DM,1 <= ... < 4 years,3,none,real estate,24,none,own,0
104,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",35,none,rent,0
105,no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,none,"car or other, not in attribute Savings account/bonds",26,none,rent,0
106,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,... < 100 DM,1 <= ... < 4 years,2,co-applicant,"car or other, not in attribute Savings account/bonds",39,none,own,1
107,no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,2,none,unknown / no property,39,bank,own,1
108,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",32,none,own,0
109,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,... < 1 year,1,none,building society savings agreement/ life insurance,30,none,own,0
110,0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,... >= 7 years,1,none,real estate,35,none,own,0
111,0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM,... >= 7 years,1,none,"car or other, not in attribute Savings account/bonds",31,bank,own,0
112,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,23,none,rent,0
113,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,none,real estate,28,none,rent,0
114,no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,... < 100 DM,1 <= ... < 4 years,4,none,real estate,25,stores,own,1
115,... < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,... >= 7 years,3,none,real estate,35,none,own,0
116,no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,... >= 7 years,4,none,real estate,47,none,own,0
117,... < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",30,none,own,1
118,... < 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,... < 1 year,2,co-applicant,real estate,27,none,rent,0
119,... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",23,none,own,1
120,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",36,none,own,0
121,... < 0 DM,21,existing credits paid back duly till now,radio/television,1835,... < 100 DM,1 <= ... < 4 years,3,none,real estate,25,none,own,1
122,no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",41,none,rent,0
123,no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... < 100 DM,1 <= ... < 4 years,3,none,real estate,24,none,rent,0
124,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,... >= 7 years,4,none,unknown / no property,63,none,for free,0
125,0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,... < 1 year,4,none,real estate,27,none,rent,1
126,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,30,none,own,0
127,... < 0 DM,12,existing credits paid back duly till now,radio/television,701,... < 100 DM,1 <= ... < 4 years,4,none,real estate,40,none,own,0
128,0 <= ... < 200 DM,12,existing credits paid back duly till now,repairs,639,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",30,none,own,1
129,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,0
130,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,... < 100 DM,1 <= ... < 4 years,3,co-applicant,real estate,29,none,own,1
131,0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 <= ... < 7 years,1,none,"car or other, not in attribute Savings account/bonds",24,none,own,0
132,... < 0 DM,36,delay in paying off in the past,education,6887,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,29,stores,own,1
133,no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,27,bank,own,0
134,no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,... < 100 DM,1 <= ... < 4 years,4,none,unknown / no property,47,bank,for free,0
135,no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,real estate,21,none,own,0
136,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,... >= 7 years,4,none,real estate,38,none,own,0
137,no checking account,27,delay in paying off in the past,car (used),8613,... >= 1000 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
138,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,real estate,66,none,own,1
139,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4 <= ... < 7 years,4,guarantor,real estate,35,bank,own,0
140,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",44,none,rent,0
141,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,... >= 1000 DM,... < 1 year,2,none,real estate,27,none,own,0
142,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,4795,... < 100 DM,... < 1 year,4,none,unknown / no property,30,none,own,0
143,... < 0 DM,27,existing credits paid back duly till now,radio/television,3416,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
144,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",22,none,own,1
145,no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,23,none,own,0
146,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
147,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,... >= 7 years,1,none,unknown / no property,39,none,own,0
148,no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",51,none,own,0
149,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,... < 100 DM,1 <= ... < 4 years,3,guarantor,building society savings agreement/ life insurance,28,none,own,0
150,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,... >= 1000 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",46,none,own,0
151,no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,... >= 7 years,2,none,unknown / no property,42,bank,for free,0
152,no checking account,10,existing credits paid back duly till now,radio/television,1924,... < 100 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,38,none,own,0
153,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,5848,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",24,none,own,0
154,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,... >= 1000 DM,... >= 7 years,2,none,unknown / no property,29,none,rent,0
155,0 <= ... < 200 DM,24,delay in paying off in the past,business,6967,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",36,none,rent,0
156,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",20,none,rent,1
157,... < 0 DM,9,critical account/ other credits existing (not at this bank),repairs,1288,100 <= ... < 500 DM,... >= 7 years,3,guarantor,real estate,48,none,own,0
158,... < 0 DM,12,all credits at this bank paid back duly,retraining,339,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",45,bank,own,0
159,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,"car or other, not in attribute Savings account/bonds",38,bank,own,0
160,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1 <= ... < 4 years,1,none,real estate,34,none,own,0
161,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 <= ... < 500 DM,... >= 7 years,3,none,real estate,36,none,own,0
162,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,30,none,own,0
163,no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,36,none,own,0
164,0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),7308,... < 100 DM,unemployed,2,none,unknown / no property,70,bank,for free,0
165,no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,36,none,own,0
166,no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",32,none,own,0
167,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",33,none,own,1
168,0 <= ... < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,... >= 1000 DM,... < 1 year,4,none,real estate,20,none,own,0
169,no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,... < 100 DM,4 <= ... < 7 years,2,none,building society savings agreement/ life insurance,25,none,rent,0
170,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,1935,... < 100 DM,... >= 7 years,4,none,real estate,31,none,own,1
171,... < 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",33,none,rent,1
172,no checking account,12,existing credits paid back duly till now,furniture/equipment,763,... < 100 DM,1 <= ... < 4 years,4,none,real estate,26,none,own,0
173,0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2064,... < 100 DM,unemployed,3,none,building society savings agreement/ life insurance,34,none,own,1
174,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1414,... < 100 DM,1 <= ... < 4 years,4,guarantor,real estate,33,none,own,0
175,... < 0 DM,21,delay in paying off in the past,education,3414,... < 100 DM,... < 1 year,2,none,building society savings agreement/ life insurance,26,none,own,1
